Player,stats_Born,player_id
Flynn Downes,1999,506189.0
Bartłomiej Drągowski,1997,208166.0
Cody Drameh,2001,531957.0
Dion Drena Beljo,2002,618350.0
Martin Dúbravka,1989,74960.0
Dominick Drexler,1990,53400.0
Domingos Duarte,1995,257376.0
Marvin Ducksch,1994,125103.0
Ondrej Duda,1994,232418.0
Shane Duffy,1992,119269.0
Rémy Dugimont,1986,174304.0
Denzel Dumfries,1996,321528.0
Alfred Duncan,1993,184894.0
Jáder Durán,2003,649317.0
Lewis Dunk,1991,148153.0
Maxime Dupé,1993,127188.0
Pablo Durán,2001,905997.0
Jean-Kevin Duverne,1997,344864.0
Julien Duranville,2006,819215.0
Edin Džeko,1986,28396.0
Hugo Duro,1999,573775.0
Paulo Dybala,1993,206050.0
Malcolm Ebiowei,2003,512354.0
Ederson,1993,238223.0
Festy Ebosele,2002,586756.0
Tyronne Ebuehi,1995,309944.0
Éderson,1999,607854.0
Enzo Ebosse,1999,342877.0
Odsonne Édouard,1998,344152.0
Maximilian Eggestein,1996,190284.0
Íñigo Eguaras,1992,89731.0
Kingsley Ehizibue,1995,272812.0
Samuel Edozie,2003,680806.0
Julian Eitschberger,2004,706617.0
Albin Ekdal,1989,49275.0
Lilian Egloff,2002,472243.0
Chidera Ejuke,1998,500067.0
Hugo Ekitike,2002,709726.0
Emmanuel Ekong,2002,603891.0
Alberth Elis,1996,281319.0
Mikael Ellertsson,2002,566615.0
Anthony Elanga,2002,583189.0
Elif Elmas,1999,400489.0
Harvey Elliott,2003,565822.0
Mohamed Elneny,1992,160438.0
Nico Elvedi,1996,192635.0
Aritz Elustondo,1994,229804.0
Rodrigo Ely,1993,176140.0
Mohamed Elyounoussi,1994,186644.0
Emerson,1999,476344.0
Breel Embolo,1997,237662.0
Youssef En-Nesyri,1997,433049.0
Julio Enciso,2004,660867.0
Wataru Endo,1993,146310.0
Arne Engels,2003,565435.0
Martin Erlic,1998,357003.0
Gonzalo Escalante,1993,266795.0
Christian Eriksen,1992,69633.0
Tjark Ernst,2003,553282.0
Bernardo Espinosa,1989,64598.0
Sergio Escudero,1989,93935.0
Salvatore Esposito,2000,390160.0
Alfonso Espino,1992,311044.0
Maxime Estève,2002,842341.0
